Domain,Rank,Category,Language,SLD,SLD Rank,SLD Category,SLD Language,DNS,HTTP,IP,IP Details,,,,
,,,,,,,,,,,141.101.123.28,N,None,None,47.0/8.0
,,,,,,,,,,,190.93.240.28,N,CR,San Jos̩,9.9333/-84.0833
,,,,,,,,,,,190.93.242.28,N,CR,San Jos̩,9.9333/-84.0833
,,,,,,,,,,,190.93.243.28,N,CR,San Jos̩,9.9333/-84.0833
www.dnamagazine.com.au,,,,dnamagazine.com.au,90645,,,N,N,Y,190.93.241.201,Y,CR,San Jos̩,9.9333/-84.0833
,,,,,,,,,,,190.93.242.201,Y,CR,San Jos̩,9.9333/-84.0833
citizensindia.com,90657,,,citizensindia.com,90657,,,N,N,Y,182.18.187.41,Y,IN,None,20.0/77.0
uk.to,90715,,,uk.to,90715,,,N,N,Y,213.171.192.141,Y,GB,Gloucester,51.8333/-2.25
android-smart.com,90730,,,android-smart.com,90730,,,N,N,Y,49.212.199.213,Y,JP,Osaka,34.6864/135.52
mie-u.ac.jp,90741,,,mie-u.ac.jp,90741,,,N,N,Y,133.67.1.1,Y,JP,None,35.69/139.69
tempurpedic.com,90752,,,tempurpedic.com,90752,,,N,N,Y,207.150.207.103,Y,US,Austin,30.2643/-97.7138
esnips.com,90757,,,esnips.com,90757,,,N,N,Y,83.170.105.61,Y,GB,None,51.5/-0.13
ieindia.org,90797,,,ieindia.org,90797,,,N,N,Y,182.18.160.32,Y,IN,None,20.0/77.0
tablighkar.com,90806,,,tablighkar.com,90806,,,N,N,Y,109.201.133.116,Y,NL,Rozendaal,52.0074/5.9654
overallbeauty.com,90822,,,overallbeauty.com,90822,,,N,N,Y,208.100.31.41,Y,US,Chicago,41.8745/-87.6503
agroinform.com,90847,,,agroinform.com,90847,,,N,N,Y,87.229.73.96,Y,HU,None,47.0/20.0
africa.com,90889,,,africa.com,90889,,,N,N,Y,50.17.240.61,Y,US,Ashburn,39.0437/-77.4875
visit-west-crete.info,90907,,,visit-west-crete.info,90907,,,N,N,Y,50.63.202.68,Y,US,Scottsdale,33.6119/-111.8906
www.softwebsolutions.com,,,,softwebsolutions.com,90912,,,N,N,Y,173.201.188.161,Y,US,Scottsdale,33.6119/-111.8906
cuview.net,90931,,,cuview.net,90931,,,N,N,Y,68.178.232.100,Y,US,Scottsdale,33.6119/-111.8906
myjobmatcher.com,91000,,,myjobmatcher.com,91000,,,N,N,Y,95.138.157.204,Y,GB,None,51.5/-0.13
coolestlife.com,91007,,,coolestlife.com,91007,,,N,N,Y,50.63.202.16,Y,US,Scottsdale,33.6119/-111.8906
niswan.net,91020,,,niswan.net,91020,,,N,N,Y,212.150.101.81,Y,IL,None,31.5/34.75
www.niswan.net,,,,niswan.net,91020,,,N,N,P,212.150.101.81,Y,IL,None,31.5/34.75
,,,,,,,,,,,212.150.101.83,N,IL,None,31.5/34.75
kseb.in,91050,,,kseb.in,91050,,,N,N,Y,103.251.43.139,Y,IN,None,20.0/77.0
rudn.ru,91089,,,rudn.ru,91089,,,N,N,Y,193.232.218.52,Y,RU,None,60.0/100.0
www.bosch-career.com,,,,bosch-career.com,91104,,,N,N,P,58.26.1.83,Y,MY,Kuala Lumpur,3.1667/101.7
,,,,,,,,,,,58.26.1.81,N,MY,Kuala Lumpur,3.1667/101.7
bosch-career.com,91104,,,bosch-career.com,91104,,,N,N,Y,94.127.76.190,Y,NL,Amsterdam,52.35/4.9167
www.bmwi.de,,,,bmwi.de,91148,,,N,N,Y,195.43.53.114,Y,DE,None,51.0/9.0
productwiki.com,91175,,,productwiki.com,91175,,,N,N,P,75.101.162.184,Y,US,Ashburn,39.0437/-77.4875
,,,,,,,,,,,174.129.7.217,N,US,Ashburn,39.0437/-77.4875
patogh-dl81.com,91178,,,patogh-dl81.com,91178,,,N,N,Y,5.9.76.172,Y,DE,None,51.0/9.0
www.lastday.jp,,,,lastday.jp,91204,,,N,N,Y,219.94.218.159,Y,JP,Osaka,34.6864/135.52
birtherreport.com,91243,,,birtherreport.com,91243,,,N,N,P,50.63.202.15,Y,US,Scottsdale,33.6119/-111.8906
,,,,,,,,,,,216.239.32.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.34.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.36.21,N,US,Mountain View,37.4192/-122.0574
,,,,,,,,,,,216.239.38.21,N,US,Mountain View,37.4192/-122.0574
